ts	phase	decision	why	evidence	result
2026-07-27T19:29:42Z	frame	found the repo had never been installed and yarn was missing	wanted a real green baseline before planning anything	node v26.5.0, no node_modules, npm global install blocked by sandbox	installed via npx yarn 1.22.22, 43s, tree still clean
2026-07-27T19:29:42Z	frame	captured the pre-change baseline for typecheck and tests	the plan needs a known-good number to measure regressions against	terminals/411466.txt, terminals/411467.txt	typecheck green 5.2s; 116 test files, 1677 tests green, 22.3s
2026-07-27T19:29:42Z	frame	confirmed the dev server renders the real app, not just a 200	a port answering is a proxy; I wanted the actual canvas	screenshot /var/folders/.../cursor/screenshots/baseline-app.png	app renders on :3001, splash says drawings live only in browser storage
2026-07-27T19:29:42Z	frame	read .env.development and found five backends the app already assumes	changes the framing from add a backend to bring the assumed backends in-repo	.env.development:3-17	json store, library backend, ws room server, AI backend, firebase all external
2026-07-27T19:32:40Z	harness	wrote scripts/verify.sh with gates for deps, typecheck, lint, format, test and boot	one rerunnable command a reviewer can run instead of trusting my word	scripts/verify.sh	all six gates pass on clean master
2026-07-27T19:32:40Z	harness	broke typecheck on purpose to confirm the gate goes red	a gate nobody has seen fail is not a gate	temp file packages/common/src/__verify_probe.ts, then deleted	red with exit 1, green with exit 0 after revert
2026-07-27T19:32:40Z	harness	found my own boot gate was lying and fixed it	it passed in 0.06s by probing a server leaked from the previous run	scripts/verify.sh gate_boot and free_port	now kills the process group, reclaims the port, and fails if it leaks
2026-07-27T19:35:17Z	frame	confirmed there is no server code anywhere in the tree	wanted to be sure before claiming the repo is client-only	grep for express/fastify/createServer hit only unrelated matches; no api or server dir	zero server code; firebase-project holds only firestore and storage rules
2026-07-27T19:35:17Z	frame	recorded the full six-gate baseline on clean master	this is the number every later phase gets measured against	terminals/411469.txt	deps, typecheck 5s, lint 11s, format 3s, test 19s, boot all PASS in 43s total
2026-07-27T19:35:17Z	design	will bring the five already-assumed backends in-repo rather than invent a new one	the client already calls them; building something else beside them would duplicate the path	.env.development, excalidraw-app/data/firebase.ts	open, pending user confirmation of priority
2026-07-27T19:35:17Z	design	routing the shared-contract mechanism and the authz model to the architect skill	both are one-way doors and I should not pick them by taste alone	not yet run	open
2026-07-27T19:35:17Z	design	the server will relay and snapshot but never author element changes	clients already reconcile on version and versionNonce; a second writer would break that assumption	excalidraw-app/collab/Collab.tsx reconciliation path	open, constraint recorded
2026-07-27T19:48:42Z	design	SUPERSEDES the five-service plan; scope cut to a server package, shared domain types, and drawings plus users	user pushed back that breadth was not the point; auth and E2EE are not what this repository needs to exercise	user direction plus reviewer verdict section C	3 phases instead of 8
2026-07-27T19:48:42Z	design	elements stay opaque JSON on the server; client runs restoreElements on load	there is no machine schema to derive from; restore.ts does imperative normalization	packages/excalidraw/data/restore.ts, no zod or ajv anywhere in the repo	shared types now cover only the new domain, much smaller
2026-07-27T19:48:42Z	harness	hardened deps gate to yarn install --frozen-lockfile --check-files	a present node_modules can be stale or built from a different lockfile	scripts/verify.sh gate_deps	passes in 3s, now actually compares tree to lockfile
2026-07-27T19:48:42Z	harness	free_port now refuses to kill a process that is not our dev server	it used to SIGKILL whatever held the port, which could be the user's own process	scripts/verify.sh is_our_dev_server	scoped kill plus an EXIT trap so cancellation cannot leak vite
2026-07-27T19:48:42Z	harness	boot gate now follows the entry module instead of only checking the page title	a broken index.tsx still serves title-bearing HTML, so the old gate passed a broken build	scripts/verify.sh gate_boot	verified: broken entry gives 500 and FAIL, revert gives PASS
2026-07-27T19:48:42Z	harness	removed set -m job control from the boot gate	the background process group made esbuild stop mid-transform and killed the dev server	crash was TypeError in esbuild main.js under Node v26.5.0	boot green and idempotent across three consecutive runs
2026-07-27T19:48:42Z	frame	found the husky pre-commit hook is commented out and there is no .nvmrc	both are cheap realism gaps and the commit gate is currently inactive	.husky/pre-commit, no .nvmrc, engines >=18 vs CI 20 vs Docker 24	open, proposed for phase 0
2026-07-27T19:56:02Z	plan	wrote PLAN.md with the descoped three-phase plan and a Phase 0 checklist	the plan only existed in chat messages, which is the wrong place for something to come back to	PLAN.md	written, prettier clean, all gates green
2026-07-27T19:56:02Z	plan	service goes at top-level server/, shared types go in packages/api-types	excalidraw-app already sets the precedent that apps are top level and libraries live in packages	PLAN.md section Shape	decided
2026-07-27T19:56:02Z	plan	confirmed release.js publishes an explicit allowlist rather than globbing packages/*	wanted to be sure a new package under packages/ cannot publish by accident	scripts/release.js:9-16	safe; plan still marks both new packages private
